Speaker__	TurnOnOrOff__	pomóż mi i włącz głośnik 	 o o o b-power o
Speaker__	TurnOnOrOff__	pomóż mi i wyłącz mój głośnik 	 o o o b-power o o
Speaker__	TurnOnOrOff__	zrób coś dla mnie i włącz głośnik 	 o o o o o b-power o
Speaker__	TurnOnOrOff__	zrób coś dla mnie i wyłącz mój głośnik 	 o o o o o b-power o o
Speaker__	TurnOnOrOff__	bądź tak miły i włącz głośnik 	 o o o o b-power o
Speaker__	TurnOnOrOff__	bądź tak miły i wyłącz mój głośnik 	 o o o o b-power o o
Speaker__	TurnOnOrOff__	włącz głośnik 	 b-power o
Speaker__	TurnOnOrOff__	wyłącz głośnik dla mnie 	 b-power o o o
Speaker__	TurnOnOrOff__	włącz głośnik za mnie 	 b-power o o o
Speaker__	TurnOnOrOff__	wyłącz mój głośnik 	 b-power o o
Speaker__	TurnOnOrOff__	włącz mój głośnik dla mnie 	 b-power o o o o
Speaker__	TurnOnOrOff__	wyłącz mój głośnik za mnie 	 b-power o o o o
Speaker__	IncreaseVolume__	zwiększ głośność głośnika 	 o o o
Speaker__	IncreaseVolume__	zwiększ głośność mojego głośnika 	 o o o o
Speaker__	IncreaseVolume__	zrób głośniej głośnik 	 o o o
Speaker__	IncreaseVolume__	zrób głośniej mój głośnik 	 o o o o
Speaker__	IncreaseVolumeByPercent__	zwiększ głośność głośnika o 5 	 o o o o b-percent
Speaker__	IncreaseVolumeByPercent__	zwiększ głośność głośnika o 10 procent 	 o o o o b-percent o
Speaker__	IncreaseVolumeByPercent__	zwiększ głośność mojego głośnika o 15 	 o o o o o b-percent
Speaker__	IncreaseVolumeByPercent__	zwiększ głośność mojego głośnika o 50 procent 	 o o o o o b-percent o
Speaker__	IncreaseVolumeByPercent__	zrób głośniej głośnik o 100 	 o o o o b-percent
Speaker__	IncreaseVolumeByPercent__	zrób głośniej głośnik o 5 procent 	 o o o o b-percent o
Speaker__	IncreaseVolumeByPercent__	zrób głośniej mój głośnik o 10 	 o o o o o b-percent
Speaker__	IncreaseVolumeByPercent__	zrób głośniej mój głośnik o 15 procent 	 o o o o o b-percent o
Speaker__	DecreaseVolume__	zmniejsz głośność głośnika 	 o o o
Speaker__	DecreaseVolume__	zmniejsz głośność mojego głośnika 	 o o o o
Speaker__	DecreaseVolume__	zrób ciszej głośnik 	 o o o
Speaker__	DecreaseVolume__	zrób ciszej mój głośnik 	 o o o o
Speaker__	DecreaseVolumeByPercent__	zmniejsz głośność głośnika o 50 	 o o o o b-percent
Speaker__	DecreaseVolumeByPercent__	zmniejsz głośność głośnika o 100 procent 	 o o o o b-percent o
Speaker__	DecreaseVolumeByPercent__	zmniejsz głośność mojego głośnika o 5 	 o o o o o b-percent
Speaker__	DecreaseVolumeByPercent__	zmniejsz głośność mojego głośnika o 10 procent 	 o o o o o b-percent o
Speaker__	DecreaseVolumeByPercent__	zrób ciszej głośnik o 15 	 o o o o b-percent
Speaker__	DecreaseVolumeByPercent__	zrób ciszej głośnik o 50 procent 	 o o o o b-percent o
Speaker__	DecreaseVolumeByPercent__	zrób ciszej mój głośnik o 100 	 o o o o o b-percent
Speaker__	DecreaseVolumeByPercent__	zrób ciszej mój głośnik o 5 procent 	 o o o o o b-percent o
Speaker__	MuteOn__	wycisz głośnik 	 o o
Speaker__	MuteOn__	wycisz mój głośnik 	 o o o
Speaker__	MuteOff__	cofnij wyciszenie głośnika 	 o o o
Speaker__	MuteOff__	cofnij wyciszenie mojego głośnika 	 o o o o
Speaker__	MuteOff__	włącz głos głośnika 	 o o o
Speaker__	MuteOff__	włącz głos mojego głośnika 	 o o o o
